a: 0 b: 0,-0.0024465894629054547,-0.00015779402619849493,0.00692
a: 0 b: π/6,-0.0018243354954612927,-0.00011766144150061181,0.00516
a: 0 b: π/4,-0.0019516147160748712,-0.00012587037927972426,0.00552
a: 0 b: π/2,-8.485281374238571e-05,-5.472625186074968e-06,0.00024
a: 0 b: π,-0.0018243354954612927,-0.00011766144150061181,0.00516
a: 0 b: 3π/2,-0.0024890158697766476,-0.0001605303387915324,0.00704
a: 0 b: 2π,-0.0014990663761154808,-9.66830449539911e-05,0.00424
a: π/9 b: 0,-0.0014566399692442882,-9.394673236095363e-05,0.00412
a: π/9 b: π/6,-0.11015309437324038,-0.0071043795957229875,0.31156
a: π/9 b: π/4,-0.1573595430852543,-0.010148983407576029,0.44508
a: π/9 b: π/2,-0.22857933808636335,-0.014742340147088284,0.64652
a: π/9 b: π,-0.0003535533905932738,-2.2802604941979034e-05,0.001
a: π/9 b: 3π/2,-0.2287349015782244,-0.014752373293262755,0.64696
a: π/9 b: 2π,-0.0003818376618407357,-2.4626813337337358e-05,0.00108
a: π/6 b: 0,-0.0022203152929257592,-0.0001432003590356283,0.00628
a: π/6 b: π/6,-0.1536543035518368,-0.009910012107784088,0.4346
a: π/6 b: π/4,-0.21281085686590337,-0.013725343966676021,0.60192
a: π/6 b: π/2,-0.30555498228633093,-0.01970692329505596,0.86424
a: π/6 b: π,-7.071067811865475e-05,-4.560520988395807e-06,0.0002
a: π/6 b: 3π/2,-0.30718132788305996,-0.019811815277789063,0.86884
a: π/6 b: 2π,-0.0043982041789803255,-0.00028366440547821913,0.01244
a: π/5 b: 0,-0.0007636753236814714,-4.9253626674674716e-05,0.00216
a: π/5 b: π/6,-0.16772572849744907,-0.010817555784474853,0.4744
a: π/5 b: π/4,-0.23466045640456767,-0.015134544952090323,0.66372
a: π/5 b: π/2,-0.3363848379460644,-0.02169531044599653,0.95144
a: π/5 b: π,-0.00016970562748477142,-1.0945250372149936e-05,0.00048
a: π/5 b: 3π/2,-0.3356494468936304,-0.021647881027717215,0.94936
a: π/5 b: 2π,-0.003846660889654819,-0.0002480923417687319,0.01088
a: π/4 b: 0,-0.0013435028842544404,-8.664989877952032e-05,0.0038
a: π/4 b: π/6,-0.1771443908228539,-0.011425017180129176,0.50104
a: π/4 b: π/4,-0.2495521252163564,-0.01609499067224648,0.70584
a: π/4 b: π/2,-0.3532988321520466,-0.022786187066420806,0.99928
a: π/4 b: π,-0.0003818376618407357,-2.4626813337337358e-05,0.00108
a: π/4 b: 3π/2,-0.3532139793383043,-0.022780714441234737,0.99904
a: π/4 b: 2π,-0.00207889393668845,-0.00013407931705883673,0.00588
a: π/3 b: 0,-0.0006081118318204309,-3.922048050020394e-05,0.00172
a: π/3 b: π/6,-0.15372501422995544,-0.009914572628772484,0.4348
a: π/3 b: π/4,-0.21705349755302264,-0.013998975225979768,0.61392
a: π/3 b: π/2,-0.305130718217619,-0.019679560169125584,0.86304
a: π/3 b: π,-0.0012727922061357855,-8.208937779112452e-05,0.0036
a: π/3 b: 3π/2,-0.3059933884906666,-0.019735198525184013,0.86548
a: π/3 b: 2π,-0.0009475230867899738,-6.111098124450381e-05,0.00268
a: π/2 b: 0,-0.0018243354954612927,-0.00011766144150061181,0.00516
a: π/2 b: π/6,-0.0013010764773832475,-8.391358618648284e-05,0.00368
a: π/2 b: π/4,-0.0013576450198781714,-8.756200297719949e-05,0.00384
a: π/2 b: π/2,-0.0004666904755831214,-3.0099438523412323e-05,0.00132
a: π/2 b: π,-0.0036628131265463164,-0.00023623498719890277,0.01036
a: π/2 b: 3π/2,-0.0012162236636408619,-7.844096100040787e-05,0.00344
a: π/2 b: 2π,-0.0016263455967290594,-0.00010489198273310355,0.0046
